id,title,author,genre,description,rating,year,cover_id
408,Duma Key,Stephen King,Accidentes,Accidentes Accident victims Paranormal fiction Sobrenatural Novela Ficción Fiction Supernatural in fiction Supernatural Accident victims in fiction,0,2008,14652203
409,The Lord of the Rings,J.R.R. Tolkien,The Lord of the Rings,"The Lord of the Rings Fiction Ficción English Fantasy fiction Ficción fantástica inglesa Fantasy fiction Open Library Staff Picks Middle Earth (Imaginary place) Fiction, fantasy, epic Middle earth (imaginary place), fiction",0,1954,14625765
410,The Well of Ascension,Brandon Sanderson,Courts and courtiers,"Courts and courtiers Sieges Fiction Fiction, fantasy, general Fiction, fantasy, epic Magic Imaginary places Fantasy fiction Courts and courtiers -- Fiction Sieges -- Fiction",0,2007,14658341
411,Lord of Chaos,Robert Jordan,Fantasy fiction,"Fantasy fiction Rand al'Thor (Fictitious character) Fiction Fantasy Fiction, fantasy, epic Rand al'thor (fictitious character), fiction American Fantasy fiction Dragons Fiction, fantasy, general American literature",0,1994,182398
412,The Housemaid,Freida McFadden,nyt:trade-fiction-paperback=2023-05-14,nyt:trade-fiction-paperback=2023-05-14 New York Times bestseller Thriller Mystery Fiction Mystery Thriller Suspense Crime Psychological Thriller Series:The-Housemaid,0,2022,15105883
413,The Long Dark Tea-Time of the Soul,Douglas Adams,Norse mythology,"Norse mythology horoscopes Fiction, fantasy, contemporary Fiction, humorous Fiction, science fiction, general Gently, dirk (fictitious character), fiction Private investigators, fiction Dirk Gently (Fictitious character) Private investigators Fiction",0,1988,11465134
414,The Adventures of Tom Sawyer,Mark Twain,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer Mark Twain 1835-1910 19th Century Historical Fiction Classic American Novel Children,0,1817,12043351
415,I Love My New Toy! (Elephant and Piggie),Mo Willems,Fiction,Fiction Pigs Friendship Emotions Elephants Juvenile fiction Friendship in fiction Elephants in fiction Pigs in fiction Emotions in fiction,0,2008,7346508
416,羊をめぐる冒険,村上春樹,Japanese fiction,"Japanese fiction Translations into Russian Fiction, fantasy, general Fiction, psychological Japan, fiction Fiction, mystery & detective, general Near and far eastern fiction (fictional works by one author) Fiction, action & adventure Fiction Mystery & crime",0,1982,9079128
417,The Butterfly and the Baron,Margaret Way,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Fiction in English Ranchers, fiction Love stories, fiction Ranchers Fiction Romance fiction",0,1979,6642068
418,The Reluctant Husband,Lynne Graham,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Intercountry marriage, fiction Husband and wife, fiction Pregnant women, fiction Fiction, romance, general",0,1998,214576
419,The City of Ember (The First Book of Ember),Jeanne DuPrau,Fiction,"Fiction Juvenile Fiction Science Fiction Fantasy fiction Children's fiction Children's stories Fiction, fantasy, general Fantasy Occupations Good and evil",0,1998,14421081
420,Ostatnie Życzenie,Andrzej Sapkowski,Fantasy,"Fantasy Fiction Translations into English Polish fiction Fiction, fantasy, general Fiction, fantasy, short stories nyt:mass-market-paperback=2015-07-05 New York Times bestseller Fiction, fantasy, collections & anthologies Sorcerers",0,1993,7360819
421,Xenocide,Orson Scott Card,Space warfare,"Space warfare Fiction Fiction, science fiction, hard science fiction Fiction, fantasy, epic Reading Level-Grade 7 Reading Level-Grade 9 Reading Level-Grade 8 Reading Level-Grade 11 Reading Level-Grade 10 Reading Level-Grade 12",0,1991,10564838
422,The Girl on the Train,Paula Hawkins,Witnesses,"Witnesses Murder victims Alcoholics Commuters Fiction Railroad travel Strangers nyt:mass-market-paperback=2016-09-11 New York Times bestseller Fiction, psychological",0,2014,7350360
423,Sleeping Desire,Charlotte Lamb,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Amnesia, fiction Divorce, fiction",0,1985,9147276
424,The Stepford Wives,Ira Levin,horror tales,horror tales conspiracy photographers satire thriller horror fiction Married women Robots Fiction Science fiction,0,1972,8409254
425,ねじまき鳥クロニクル,村上春樹,literary fiction,literary fiction contemporary fantasy psychological fiction parapsychology fate and fatalism Fiction Japanese fiction Man-woman relationships Marriage Missing persons,0,1997,12627437
426,Cell,Stephen King,computer worms,computer worms hive minds zombies horror fiction cell phones fiction murderers Psychological fiction Cell phones in fiction Asesinos,0,2006,14654054
427,Ella Enchanted,Gail Carson Levine,fiction,fiction Juvenile Fiction - Fairy Tales & Folklore - Adaptations Juvenile Fiction - Fantasy & Magic Juvenile Fiction - Girls & Women Fantasy Juvenile fiction Fantasy -- Juvenile fiction Fairy godmothers Blessing and cursing Fantasy fiction,0,1997,50323
428,Tempestuous reunion,Lynne Graham,"Fiction, general","Fiction, general Fiction, Romance, Contemporary Secret child, fiction Amnesia, fiction",0,1991,13862078
429,The Drawing of the Three,Stephen King,sociopaths,sociopaths dissociative identity disorder civil rights heroin cocaine lobstrosities tarot cards horror fiction American fantasy fiction horror tales,0,1987,14651245
430,Children of Dune,Frank Herbert,Dune (Imaginary place),"Dune (Imaginary place) Fiction Fiction in English Science Fiction Dune (imaginary place), fiction Fiction, science fiction, general Fiction, fantasy, general American Science fiction Reading Level-Grade 7 Reading Level-Grade 9",0,1976,6976407
431,Anansi Boys,Neil Gaiman,Action and adventure fiction,Action and adventure fiction Adventure fiction Adventure stories brothers embezzlement English fiction estates Fantasy Fantasy fiction Father-son relationship,0,2005,12049134
432,Northanger Abbey,Jane Austen,Mate selection,Mate selection Cousins Fiction Young women Horror tales Families Uncles Appreciation Children of the rich English Love stories,0,1818,12567961
433,Cujo,Stephen King,suspense,suspense psychological horror Fiction Rabies in fiction Dogs in fiction Dogs Rabies Horror American Horror tales horror fiction,0,1981,8570003
434,King of Wrath,Ana Huang,"Fiction, romance, general","Fiction, romance, general Fiction, general nyt:trade-fiction-paperback=2023-05-14 New York Times bestseller Serie:Kings_of_Sin",0,2022,13588136
435,Charlotte's Web,Jennifer Frantz,Spiders,"Spiders Juvenile fiction Fiction Pigs Swine Domestic animals Friendship Movie tie-ins (Fiction) Children: Grades 1-2 Domestic animals, fiction",0,2006,38950
436,The Gruffalo,Julia Donaldson,Animals,"Animals Juvenile fiction Fiction Stories in rhyme Mice Children’s Picture Books Children: Kindergarten Children's fiction Mice, fiction Monsters, fiction",0,1999,8561698
437,Breakfast of Champions,Kurt Vonnegut,Authorship,Authorship Science fiction Fiction Classic Literature Drama American fiction (fictional works by one author) Humorous stories Satire Kilgore Trout (Fictitious character) Sexuality,0,1973,280213
438,The Hostage Bride,Janet Dailey,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Embezzlement,  fiction Blackmail, fiction Man-woman relationships, fiction",0,1981,409418
439,The Two Towers,J.R.R. Tolkien,Ents,Ents Orcs hobbits magic Ficción fantástica inglesa Ficción translations into Spanish readers for new literates The Lord of the Rings English Fantasy fiction,0,1954,14627564
440,4:50 from Paddington,Agatha Christie,Fiction,"Fiction Mystery Jane Marple (Fictitious character) Fiction, mystery & detective, general Marple, jane (fictitious character), fiction English literature English language Fiction, mystery & detective, traditional Murder Investigation",0,1957,13151352
441,Response,Penny Jordan,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Fiction, suspense Fiction, thrillers, suspense",0,1984,7248505
442,Bound by Honor,Cora Reilly,"Fiction, romance, erotica","Fiction, romance, erotica Man-woman relationships, fiction Erotic stories, fiction",0,2014,10558598
443,The Road to Oz,L. Frank Baum,Fairy tales,"Fairy tales Juvenile Fiction Fiction Oz (Imaginary place) Fantasy Classic Literature Children's fiction Fantasy fiction Oz (imaginary place), fiction Fiction, fantasy, general",0,1909,8243922
444,A Portrait of the Artist as a Young Man,James Joyce,Fiction,Fiction Artists Young men Facsimiles Manuscripts English Manuscripts Autobiographical fiction Literature Classic Literature Coming of age,0,1818,9328410
445,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,Vampires,Vampires Cocktail servers Telepathy Waitresses Fiction Fantasy New York Times bestseller Urban Fantasy nyt:mass_market_paperback=2010-09-11 Vampires -- Fiction,0,2001,6399102
446,Recursion,Blake Crouch,"Fiction, suspense","Fiction, suspense Fiction, thrillers Fiction, thrillers, general nyt:combined-print-and-e-book-fiction=2019-06-30 New York Times bestseller New York Times reviewed Fiction, thrillers, suspense Epidemics Fiction Neurosciences",0,2019,8748478
447,Burning Chrome,William Gibson,American Science fiction,"American Science fiction Science fiction, American Long Now Manual for Civilization American literature Fiction, science fiction, short stories Fiction, science fiction, collections & anthologies Virtual reality Fiction Cyberspace",0,1986,28351
448,Shadow and Bone,Leigh Bardugo,Magic,"Magic Ability Fantasy fiction Orphans Fantasy Monsters Fiction Children's fiction Magic, fiction Monsters, fiction",0,2012,13816048
449,Charlie and the Great Glass Elevator,Roald Dahl,Charlie Bucket (Fictitious character),"Charlie Bucket (Fictitious character) Juvenile fiction Children's fiction Outer space, fiction Science fiction Humorous stories Outer space Fiction Eccentrics and eccentricities Chocolate industry",0,1972,7893583
450,Desperation,Stephen King,Fiction,Fiction Travelers Traffic police American fiction Horror tales Horror Suspense Psychological fiction Spanish: Adult Fiction Horror fiction,0,1996,8757374
451,Martin Eden,Jack London,Fiction,Fiction Literature Authors Classic Literature Working class Young men American fiction (fictional works by one author) American literature Literatură americană Roman,0,1908,9223765
452,The Assassin’s Blade,Sarah J. Maas,"Fiction, fantasy, collections & anthologies","Fiction, fantasy, collections & anthologies Female assassins in fiction Young adult fiction, fantasy, dark fantasy [series:Throne_of_Glass] Fantasy Assassins Fiction",0,2014,7794980
453,The Client,John Grisham,suicide,suicide Fifth Amendment lawyers FBI United States attorney legal thriller Organized crime USA Fiction Child witnesses,0,1993,8443273
454,The Bluest Eye,Toni Morrison,foster care,foster care Dick and Jane flashback White Anglo-Saxon Protestants inferiority complex whiteness third-person narrative Coming of age African American fiction Eye,0,1970,15152696
455,Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,Crime & Mystery,Crime & Mystery catalepsy amyl nitrate suicide by hanging broughams ancestors asphyxiation blackmail brandy brokers,0,1893,9246429
456,My Friend is Sad,Mo Willems,Elephant and Piggy,Elephant and Piggy juvenile fiction picture books emotions Pigs Fiction Elephants Emotions Friendship Humor,0,2007,8173599
457,The Grim Grotto,Lemony Snicket,Juvenile Fiction,Juvenile Fiction Fiction Humorous stories Brothers and sisters Submarines (Ships) Orphans Orphans -- Juvenile fiction Brothers and sisters -- Juvenile fiction Submarines (Ships) -- Juvenile fiction Children's fiction,0,2004,50569
458,David Copperfield,Charles Dickens,British and irish drama (dramatic works by one author),"British and irish drama (dramatic works by one author) Children's fiction Orphans, fiction England, fiction Boys, fiction Stepparents, fiction Readers British and irish fiction (fictional works by one author) Fiction, coming of age Fiction",0,1800,1048892
459,The Gunslinger,Stephen King,succubus,succubus demons American fiction fantastic fiction adventure fiction science fiction horror fiction fantasy Fantasy fiction Ciencia-ficción,0,1976,8396638
460,The Bad Beginning,Lemony Snicket,Fiction,"Fiction Humorous stories Brothers and sisters Orphans Children's fiction Brothers and sisters, fiction Orphans, fiction juvenile fiction Orphans -- Juvenile fiction Brothers and sisters -- Juvenile fiction",0,1999,7255974
461,Old Man’s War,John Scalzi,Space warfare,Space warfare Life on other planets in fiction Older men Science Fiction Soldiers in fiction Older men in fiction Space colonies in fiction Life on other planets Soldiers Space colonies,0,2005,524402
462,"So long, and thanks for all the fish",Douglas Adams,Trilogy of Four,Trilogy of Four fantasy fiction Fiction Interplanetary voyages Science Fiction Ford Prefect (Fictitious character) Arthur Dent (Fictitious character) Belletristische Darstellung Weltall English literature,0,1984,11465415
463,Half of a Yellow Sun,Chimamanda Ngozi Adichie,literary fiction,literary fiction historical fiction political fiction war military fiction Fiction History Modern Literature Civil War Anisfield-Wolf Book Award winner,0,2006,8472660
464,John Dies at the End,David Wong,American Horror tales,"American Horror tales Fiction Science fiction Quakers Friends Fiction, horror Fiction, thrillers Fiction, humorous Fiction, science fiction, general Friendship, fiction",0,2007,1725356
465,The Book Of Three,Lloyd Alexander,Fantasy,Fantasy Juvenile fiction Swine Celtic Mythology Heroes Good and evil Prydain (Imaginary place) Fiction Adventure and adventurers Children's fiction,0,1964,580388
466,Lord of the Flies,William Golding,fiction,fiction relationships adventure morality survival childhood children boys ethics castaway,0,1954,8684447
467,Prelude to Foundation,Isaac Asimov,American Science fiction,"American Science fiction Psychohistory Psychohistory in fiction Fiction Science fiction Life on other planets in fiction Life on other planets Fiction, science fiction, general American literature Long Now Manual for Civilization",0,1988,12816973
468,Dolores Claiborne,Stephen King,Women,Women Intimacy (Psychology) Confession Fiction Confesión Intimidad (Psicología) Horror Open Library Staff Picks Mujeres Ficción,0,1992,9255997
469,Six of Crows,Leigh Bardugo,Young adult fiction,Young adult fiction Fantasy fiction Fiction Young adult works Juvenile works Science fiction Juvenile fiction LGBTQ novels YA fiction mystery,0,2015,12667417
470,Das Parfum,Patrick Süskind,Historical fiction,Historical fiction psychological thriller dark fantasy coming-of-age murder mystery obsession perfume scent olfactory senses,0,1985,10910286
471,The Diamond Age,Neal Stephenson,Revolutions,Revolutions Open Library Staff Picks Quests (Expeditions) Fiction Hugo Award Winner Science Fiction award:hugo_award=1996 Young women Nanotechnology award:hugo_award=novel,0,1995,8598269
472,Leviathan Wakes,James S. A. Corey,Space warfare,"Space warfare Fiction Interplanetary voyages Conspiracies Fiction, science fiction, general American literature series:The Expanse",0,2009,7314237
473,Gathering Blue,Lois Lowry,Fiction,Fiction Ficción juvenil Impedidos Orphans People with disabilities Artists Ciencia-ficción Huérfanos Artistas Science fiction,0,2000,2231110
474,Firestarter,Stephen King,Genetic Engineering,Genetic Engineering suspense Fiction Psychokinesis Fire Horror Psychic ability Science fiction horror thriller telekinesis,0,1980,12015446
475,The Tower of Nero,Rick Riordan,Serie:The_Trials_of_Apollo,"Serie:The_Trials_of_Apollo Fantasy fiction Adventure and adventurers, fiction Children's fiction",0,2020,9945247
476,Losing hope,Colleen Hoover,Family secrets,"Family secrets Friendship Fiction Fiction, romance, contemporary Friendship, fiction FICTION / General FICTION / Romance / General FICTION / Family Life New York Times bestseller Fiction, romance, general",0,2013,9326787
477,Fight Club,Chuck Palahniuk,Fiction,Fiction Millennialism Young men Science fiction open_syllabus_project Hand-to-hand fighting Gangs Self-destructive behavior Boxing Aggressiveness,0,1996,7890578
478,A Time to Kill,John Grisham,african american girls,african american girls attorney and client capital murder capital punishment child sexual abuse crime fiction crimes against african american girls detective and mystery fiction detective and mystery stories disbarment,0,1989,8445673
479,"Ruthless Magnate, Convenient Wife",Lynne Graham,"Fiction, Romance, Contemporary, Modern","Fiction, Romance, Contemporary, Modern Fiction, romance, erotica Man-woman relationships, fiction Marriage, fiction Russians, fiction Twins, fiction Sisters, fiction Billionaires, fiction Fiction, romance, general",0,2009,6433819
480,Something Wicked This Way Comes,Ray Bradbury,Boys,Boys Fiction Male friendship Fathers and sons Carnival Fiction in English sci-fi Social life and customs Fantasy Fantasy fiction,0,1962,9346340
481,Foundation and Empire,Isaac Asimov,Fiction,"Fiction Psychohistory Life on other planets American Science fiction Science Fiction Fiction, science fiction, general Trantorian empire (imaginary place), fiction American literature Vie extraterrestre Romans, nouvelles",0,1945,9300695
482,The Murders in the Rue Morgue,Edgar Allan Poe,Murder,"Murder Fiction American Detective and mystery stories C. Auguste Dupin (Fictitious character) Fiction, mystery & detective, general Dupin, auguste (fictitious character), fiction Libros de lectura Ingle s France, fiction Paris (france), fiction",0,1841,11774455
483,Friday,Robert A. Heinlein,Science fiction,"Science fiction Fiction Genetic engineering Women Fiction, science fiction, general Fiction, science fiction, hard science fiction Fiction, science fiction, crime & mystery Fiction, science fiction, action & adventure",0,1982,14630717
484,Kim,Rudyard Kipling,Fiction,Fiction Irish Lamas Irish in fiction Orphans Boys in fiction Boys Lamas in fiction Orphans in fiction India in fiction,0,1901,1053011
485,Inheritance,Christopher Paolini,Fantasy,Fantasy Dragons Fiction Magic Imaginary places Juvenile fiction Fantasy fiction Young adult fiction American Fantasy fiction Children's fiction,0,2010,6973055
486,The Italian Billionaire's Pregnant Bride,Lynne Graham,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Passion, fiction New York (N.Y.), fiction Married people, fiction Pregnancy, fiction Italy, fiction Waitresses, fiction Italians, fiction Pregnancy,  fiction Billionaires, fiction",0,2008,2407614
487,The Runaway Jury,John Grisham,Fiction,Fiction Jury in fiction Jury Trials (Products liability) Legal stories Women missionaries Women missionaries in fiction People with disabilities Billionaires in fiction Billionaires,0,1996,9322902
488,Maurice,E. M. Forster,Fiction,Fiction Gay men Gay men in fiction England in fiction University of Cambridge University of Cambridge in fiction Fiction in English Criticism and interpretation Coming of age Homosexuality,0,1971,1364882
489,Neverwhere,Neil Gaiman,Fiction,"Fiction Underground areas Underground homeless persons Businessmen Subways Fantasy fiction Fantasy London (england), fiction Fiction, fantasy, contemporary Fiction, horror",0,1996,1008998
490,Der Proceß,Franz Kafka,Fiction,"Fiction Alegorical fiction Manuscripts Facsimiles Trials Ficción Procesos criminales Fiction, psychological Continental european fiction (fictional works by one author) Psychological fiction",0,1825,997423
491,Mockingjay,Suzanne Collins,New York Times bestseller,New York Times bestseller Sci-fi Young Adult nyt:series_books=2010-08-21 Science fiction Interpersonal relations Television programs Insurgency Survival Contests,0,2010,12646459
492,The Railway Children,Edith Nesbit,Brothers and sisters,Brothers and sisters Children's stories Classic Literature Country life Family Family life Fiction History Juvenile Literature Juvenile fiction,0,1900,13241123
493,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,"Don Quixote (Cervantes Saavedra, Miguel de)","Don Quixote (Cervantes Saavedra, Miguel de) Quotations Knights and knighthood Social life and customs Fiction Classic Literature Don Quixote (Fictitious character) Early works to 1800 Dictionaries Literatura picaresca",0,1600,14428305
494,Stories of Your Life and Others,Ted Chiang,American Science fiction,"American Science fiction Fiction, science fiction, short stories nyt:trade-fiction-paperback=2016-12-04 New York Times bestseller Life change events Fiction Change (Psychology) Automation Human-alien encounters Adaptability (Psychology)",0,2002,524046
495,Dorothy and the Wizard in Oz,L. Frank Baum,Fairy tales,"Fairy tales Fiction Oz (Imaginary place) Fantasy Classic Literature Juvenile fiction Fantasy fiction Children's fiction Oz (imaginary place), fiction Children: Grades 4-6",0,1908,12648659
496,The Wedding,Julie Garwood,"Fiction, Romance, Historical","Fiction, Romance, Historical collectionID:Mbodice_ripper History Weddings, fiction Revenge, fiction Upper class, fiction Marriage, fiction Weddings Fiction",0,1996,7895298
